alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.0            986       7         0         14        0.986               12.2444219067       0.0                 0.0                 0                   1                   -1                  -55                                     
0.0            984       6         0         16        0.984               0.524390243902      0.0                 0.0                 0                   1                   -3                  -1                                      
0.0            988       3         0         12        0.988               8.46153846154       0.0                 0.0                 0                   0                   -1.0                -47.5                                   
0.0            991       3         0         9         0.991               6.54894046418       0                   0                   0                   0                   -5                  -3                                      
0.0            993       4         0         7         0.993               0.055387713998      0                   0                   0                   0                   -2.5                -2                                      
0.0            991       0         0         9         0.991               9.50756811302       0                   0                   0                   1.0                 -2.0                -1.0                                    
0.0            990       4         0         10        0.99                9.2696969697        0.0                 0.0                 0                   0                   -2                  -12                                     
0.0            983       6         0         17        0.983               0.663275686673      0                   0                   0                   0                   -1                  -14.5                                   
0.0            991       4         0         9         0.991               16.4339051463       0                   0                   0                   1                   -2.5                -9.5                                    
0.0            994       2         0         6         0.994               26.4134808853       0.0                 0.0                 0                   0                   -2                  -5.0                                    
0.0            987       6         0         13        0.987               4.81053698075       0                   0                   0                   0                   -1.0                -44                                     
0.0            991       4         0         9         0.991               0.0181634712412     0                   0                   0                   0                   -1                  -1.0                                    
0.0            982       4         0         18        0.982               0.061099796334      0.0                 0.0                 0                   0                   -3.0                -1.0                                    
0.0            992       3         0         8         0.992               10.2318548387       0.0                 0.0                 0                   0                   -3.0                -3.0                                    
0.0            989       5         0         11        0.989               5.01718907988       0                   0                   0                   1                   0                   -3.0                                    
0.0            979       13        0         21        0.979               4.62921348315       0                   0                   0                   0                   0                   -1.5                                    
0.0            991       4         0         9         0.991               9.12008072654       0                   0                   0                   0                   -1                  -1                                      
0.0            992       3         0         8         0.992               0.0534274193548     0.0                 0.0                 0                   0                   -3.0                -3                                      
0.0            985       7         0         15        0.985               9.78680203046       0                   0                   0                   0                   -1.0                -3.0                                    
0.0            992       1         0         8         0.992               6.21169354839       0.0                 0.0                 0                   0                   -2                  -4.5                                    
0.0            987       5         0         13        0.987               9.22492401216       0                   0                   0                   0                   -4                  -2                                      
0.0            984       7         0         16        0.984               8.82012195122       0.0                 0.0                 0                   0                   -1.5                -4                                      
0.0            989       4         0         11        0.989               5.26693629929       0                   0                   0                   1                   -4                  -2                                      
0.0            989       4         0         11        0.989               17.0687563195       0                   0                   0                   1                   -3                  -4                                      
