alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.0            912       0         0         88        0.912               85.6129385965       1.0                 1.0                 2.0                 3                   0                   -3                                      
0.0            909       1         0         91        0.909               157.174917492       1                   1                   3                   3                   -2.5                -18.0                                   
0.0            925       1         0         75        0.925               90.0886486486       1                   1                   3.0                 2.0                 0                   -3                                      
0.0            892       6         0         108       0.892               116.225336323       2.0                 1.0                 3                   3                   -1.5                0                                       
0.0            918       0         0         82        0.918               111.433551198       1.0                 1.0                 2.0                 3                   -2                  -23                                     
0.0            889       2         0         111       0.889               127.012373453       1                   1                   3                   3                   0                   -3                                      
0.0            909       2         0         91        0.909               96.5104510451       1                   1                   3                   3.0                 0                   -3.5                                    
0.0            927       0         0         73        0.927               72.7087378641       1                   1                   2.0                 2                   -1.0                -2                                      
0.0            902       3         0         98        0.902               140.486696231       2.0                 1.0                 3.0                 3.0                 -2                  -2.0                                    
0.0            911       0         0         89        0.911               112.915477497       1                   1                   2.0                 2                   0                   -2                                      
0.0            916       2         0         84        0.916               96.4475982533       1.0                 1.0                 2.0                 2                   0                   -1                                      
0.0            908       2         0         92        0.908               103.730176211       1.0                 1.0                 2.0                 2.0                 -1                  -1                                      
0.0            911       1         0         89        0.911               178.319429199       1                   1                   2                   3.0                 0                   -38                                     
0.0            919       1         0         81        0.919               87.8411316649       1                   1                   2                   2.0                 0                   -22                                     
0.0            904       2         0         96        0.904               120.26880531        1.0                 1.0                 3                   2.0                 0                   -2                                      
0.0            900       3         0         100       0.9                 143.025555556       1.0                 2.0                 2.0                 2.5                 -1                  -6.0                                    
0.0            920       2         0         80        0.92                90.0282608696       1.0                 1.0                 3.0                 2                   0                   -1                                      
0.0            912       2         0         88        0.912               116.339912281       1.0                 1.0                 3.0                 2                   0                   -1                                      
0.0            911       1         0         89        0.911               64.6586169045       1                   1                   2                   2.0                 -2                  0                                       
