alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.2            30        0         0         0         1.0                 0.366666666667      0.0                 0.0                 1.0                 0                   -1.0                -1.0                                    
0.2            30        0         0         0         1.0                 0.433333333333      0.0                 0.0                 0                   0                   -2.0                -1                                      
0.21           30        0         0         0         1.0                 0.4                 0.0                 0.0                 1                   0                   -1.0                -1.0                                    
0.21           30        0         0         0         1.0                 1.06666666667       0.0                 0.0                 0                   1                   -2.0                -2.5                                    
0.22           29        0         0         1         0.966666666667      1.06896551724       0                   0                   0                   1                   -1.0                -1                                      
0.22           30        0         0         0         1.0                 0.5                 0.0                 0.0                 1                   0                   -1.0                -1                                      
0.23           30        0         0         0         1.0                 1.46666666667       0.0                 0.0                 1                   1                   -1                  -1.0                                    
0.23           30        0         0         0         1.0                 0.5                 0.0                 0.0                 1                   1                   -1                  -1.0                                    
0.24           30        0         0         0         1.0                 0.533333333333      0.0                 0.0                 1                   1                   -1                  -2                                      
0.24           30        0         0         0         1.0                 0.733333333333      0.0                 0.0                 0                   1                   -1.0                -1.5                                    
