alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.0            988       5         0         12        0.988               0.0111336032389     0.0                 0.0                 0                   0                   0                   -1                                      
0.0            990       7         0         10        0.99                3.55050505051       0.0                 0.0                 0                   0                   -3.5                -31.0                                   
0.0            982       7         0         18        0.982               2.66700610998       0.0                 0.0                 0                   0                   -4                  -14.5                                   
0.0            987       3         0         13        0.987               9.20466058764       0                   0                   0                   1                   -4.0                -2.0                                    
0.0            986       5         0         14        0.986               15.2464503043       0.0                 0.0                 0                   0                   -1                  -3.0                                    
0.0            985       8         0         15        0.985               0.00913705583756    0                   0                   0                   0                   -1.5                -2                                      
0.0            981       6         0         19        0.981               0.00917431192661    0                   0                   0                   0                   0                   -2                                      
0.0            982       9         0         18        0.982               6.7433808554        0.0                 0.0                 0                   0                   -2                  -2                                      
0.0            984       5         0         16        0.984               6.59654471545       0.0                 0.0                 0                   0                   -4                  -2                                      
0.0            992       5         0         8         0.992               13.7862903226       0.0                 0.0                 0                   0                   -2                  -2                                      
0.0            993       1         0         7         0.993               0.746223564955      0                   0                   0                   0                   -3.5                -1                                      
0.0            985       7         0         15        0.985               0.0781725888325     0                   0                   0                   1                   -5                  -2                                      
0.0            989       3         0         11        0.989               0.0353892821031     0                   0                   0                   0                   0                   -3.0                                    
0.0            986       7         0         14        0.986               0.0598377281947     0.0                 0.0                 0                   0                   0                   -1.5                                    
0.0            989       5         0         11        0.989               0.869565217391      0                   0                   0                   0                   -2.0                -2                                      
0.0            991       3         0         9         0.991               0.0625630676085     0                   0                   0                   0                   0                   -3.5                                    
0.0            988       6         0         12        0.988               9.9504048583        0.0                 0.0                 0                   0                   -2                  -2.0                                    
0.0            992       3         0         8         0.992               5.68044354839       0.0                 0.0                 0                   0                   0                   -1.0                                    
0.0            990       3         0         10        0.99                12.7606060606       0.0                 0.0                 0                   1                   -3.5                -20.5                                   
0.0            997       2         0         3         0.997               7.68204613842       0                   0                   0                   0                   -3                  -5                                      
0.0            989       3         0         11        0.989               0.0171890798787     0                   0                   0                   0                   0                   -2.5                                    
0.0            990       4         0         10        0.99                0.0181818181818     0.0                 0.0                 0                   0                   -2.5                -1                                      
0.0            991       3         0         9         0.991               1.64480322906       0                   0                   0                   0                   -1                  -2                                      
0.0            990       4         0         10        0.99                1.82323232323       0.0                 0.0                 0                   0                   -2                  -2.5                                    
0.0            992       6         0         8         0.992               1.98588709677       0.0                 0.0                 0                   0                   -2                  -17.0                                   
0.0            991       5         0         9         0.991               5.25529767911       0                   0                   0                   0                   -2.0                -2.5                                    
0.0            987       7         0         13        0.987               7.19756838906       0                   0                   0                   0                   -2.0                -2.0                                    
0.0            993       2         0         7         0.993               0.0392749244713     0                   0                   0                   0                   -2.5                -1.5                                    
0.0            986       7         0         14        0.986               5.99594320487       0.0                 0.0                 0                   0                   -2                  -5                                      
0.0            988       3         0         12        0.988               1.67813765182       0.0                 0.0                 0                   0                   -3                  -3.0                                    
0.0            987       7         0         13        0.987               22.9229989868       0                   0                   0                   0                   -1                  -4.5                                    
