alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.2            16        3         0         984       0.016               2483.875            -17.0               -21.5               0                   0                   -17.0               -21.5                                   
0.2            11        5         0         989       0.011               1269.90909091       -13                 -13                 0                   0                   -13                 -13                                     
0.2            17        8         0         983       0.017               1635.70588235       -18                 -20                 0                   0                   -18                 -20                                     
0.2            9         0         0         991       0.009               2208.55555556       -26                 -24                 0                   0                   -26                 -24                                     
0.2            14        1         0         986       0.014               1567.5              -17.5               -11.5               0                   0                   -17.5               -11.5                                   
0.21           6         1         0         994       0.006               2465.16666667       -15.0               -23.0               0                   0                   -15.0               -23.0                                   
0.21           6         0         0         994       0.006               1503.0              -20.0               -8.5                0                   0                   -20.0               -8.5                                    
0.21           4         1         0         996       0.004               1210.75             -25.0               -16.0               0                   0                   -25.0               -16.0                                   
0.21           5         3         0         995       0.005               2219.8              -36                 -12                 0                   0                   -36                 -12                                     
0.21           3         1         0         997       0.003               2466.0              -43                 -18                 0                   0                   -43                 -18                                     
0.22           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
0.22           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
0.22           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
0.22           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
0.22           1         0         0         999       0.001               1466.0              -25                 -29                 0                   0                   -25                 -29                                     
0.23           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
0.23           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
0.23           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
0.23           0         0         0         1000      0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                                     
